iter	Passed	Remaining
0	2	223
1	4	201
2	5	181
3	6	163
4	8	157
5	9	151
6	11	150
7	12	146
8	14	143
9	15	142
10	17	139
11	18	136
12	20	134
13	21	132
14	23	130
15	24	128
16	25	126
17	27	124
18	28	122
19	30	120
20	31	118
21	32	116
22	34	114
23	35	112
24	36	110
25	38	108
26	39	107
27	41	105
28	42	104
29	43	102
30	45	101
31	46	99
32	48	97
33	49	96
34	50	94
35	52	93
36	54	91
37	55	90
38	56	89
39	58	87
40	59	85
41	60	83
42	61	81
43	63	80
44	64	78
45	65	77
46	67	75
47	68	74
48	69	72
49	71	71
50	72	69
51	73	68
52	75	66
53	76	65
54	77	63
55	78	61
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	91	49
65	92	47
66	94	46
67	96	45
68	98	44
69	99	42
70	101	41
71	102	40
72	104	38
73	106	37
74	107	35
75	109	34
76	111	33
77	112	31
78	114	30
79	116	29
80	117	27
81	119	26
82	121	24
83	123	23
84	124	21
85	125	20
86	127	18
87	128	17
88	129	16
89	131	14
90	132	13
91	133	11
92	135	10
93	137	8
94	138	7
95	140	5
96	141	4
97	142	2
98	144	1
99	145	0
