iter	Passed	Remaining
0	189	188827
1	193	96454
2	197	65498
3	200	50033
4	205	40823
5	209	34663
6	213	30233
7	217	26918
8	221	24437
9	226	22384
10	229	20660
11	233	19197
12	236	17963
13	239	16879
14	242	15940
15	246	15164
16	255	14746
17	258	14097
18	262	13537
19	265	13013
20	269	12565
21	272	12117
22	276	11734
23	280	11388
24	283	11064
25	287	10762
26	291	10488
27	294	10211
28	297	9948
29	300	9717
30	304	9525
31	308	9341
32	312	9148
33	315	8958
34	320	8839
35	328	8793
36	334	8712
37	341	8635
38	348	8594
39	361	8668
40	389	9112
41	424	9676
42	449	10014
43	473	10277
44	480	10193
45	492	10213
46	498	10099
47	503	9991
48	507	9847
49	511	9712
50	515	9585
51	519	9465
52	522	9343
53	526	9221
54	531	9133
55	535	9023
56	538	8914
57	542	8815
58	546	8714
59	550	8616
60	553	8525
61	557	8435
62	561	8344
63	564	8259
64	568	8175
65	577	8171
66	581	8091
67	585	8019
68	588	7944
69	593	7880
70	598	7836
71	606	7821
72	610	7754
73	614	7690
74	618	7628
75	622	7571
76	626	7513
77	636	7524
78	644	7509
79	713	8205
80	748	8493
81	760	8519
82	766	8473
83	773	8439
84	780	8404
85	790	8402
86	803	8431
87	810	8398
88	823	8431
89	830	8396
90	837	8366
91	843	8327
92	857	8358
93	861	8307
94	866	8251
95	878	8275
96	890	8291
97	894	8230
98	899	8188
99	911	8206
100	916	8156
101	925	8143
102	929	8096
103	937	8081
104	946	8066
105	951	8024
106	955	7974
107	960	7930
108	969	7926
109	978	7918
110	991	7938
111	995	7892
112	1000	7850
113	1006	7825
114	1021	7857
115	1034	7880
116	1041	7856
117	1051	7857
118	1062	7869
119	1067	7828
120	1077	7826
121	1083	7800
122	1104	7871
123	1136	8031
124	1143	8005
125	1150	7980
126	1168	8031
127	1177	8023
128	1199	8098
129	1205	8070
130	1210	8027
131	1214	7983
132	1217	7938
133	1221	7894
134	1225	7849
135	1228	7806
136	1233	7767
137	1236	7725
138	1239	7680
139	1243	7639
140	1249	7612
141	1251	7564
142	1255	7525
143	1259	7487
144	1262	7447
145	1266	7408
146	1270	7370
147	1273	7332
148	1277	7294
149	1280	7256
150	1284	7220
151	1287	7182
152	1290	7145
153	1293	7107
154	1296	7070
155	1300	7037
156	1309	7030
157	1313	7000
158	1318	6972
159	1324	6953
160	1326	6914
161	1334	6905
162	1339	6876
163	1351	6888
164	1357	6867
165	1362	6845
166	1372	6848
167	1376	6818
168	1380	6788
169	1384	6757
170	1394	6760
171	1398	6732
172	1404	6715
173	1408	6685
174	1411	6654
175	1423	6663
176	1429	6647
177	1433	6620
178	1444	6627
179	1453	6620
180	1458	6598
181	1474	6629
182	1480	6611
183	1496	6638
184	1509	6650
185	1526	6681
186	1534	6671
187	1540	6654
188	1550	6654
189	1557	6640
190	1565	6631
191	1577	6638
192	1581	6613
193	1589	6603
194	1593	6578
195	1606	6589
196	1613	6576
